0.63,0.52,0.83,29,,0.68,0.54,0.87,23
0.65,0.52,0.83,29,,0.65,0.54,0.84,23
0.67,0.52,0.83,29,,0.65,0.54,0.83,23
0.65,0.52,0.83,29,,0.66,0.54,0.84,23
0.67,0.52,0.83,29,,0.67,0.54,0.85,23
0.65,0.52,0.83,29,,0.66,0.54,0.85,23
0.66,0.52,0.83,29,,0.67,0.54,0.84,23
0.7,0.52,0.83,29,,0.67,0.54,0.84,23
0.61,0.63,0.82,28,,0.64,0.63,0.84,27
0.61,0.62,0.82,28,,0.66,0.65,0.84,27
0.61,0.63,0.82,28,,0.64,0.63,0.82,27
0.61,0.64,0.82,28,,0.64,0.61,0.81,27
0.61,0.64,0.82,28,,0.64,0.61,0.82,27
0.61,0.64,0.82,28,,0.64,0.62,0.82,27
0.6,0.63,0.82,28,,0.66,0.64,0.85,27
0.61,0.63,0.82,28,,0.64,0.64,0.83,27
0.64,0.63,0.84,27,,,,,
0.66,0.65,0.84,27,,,,,
0.64,0.63,0.82,27,,,,,
0.64,0.61,0.81,27,,,,,
0.64,0.61,0.82,27,,,,,
0.64,0.62,0.82,27,,,,,
0.66,0.64,0.85,27,,,,,
0.64,0.64,0.83,27,,,,,
0.58,0.69,0.83,26,,,,,
0.58,0.69,0.83,26,,,,,
0.58,0.69,0.85,26,,,,,
0.58,0.69,0.85,26,,,,,
0.58,0.69,0.84,26,,,,,
0.58,0.68,0.84,26,,,,,
0.58,0.68,0.87,26,,,,,
0.58,0.66,0.87,26,,,,,
0.62,0.55,0.83,25,,0.58,0.56,0.81,13
0.62,0.55,0.83,25,,0.58,0.56,0.81,13
0.6,0.55,0.83,25,,0.58,0.56,0.81,13
0.61,0.55,0.83,25,,0.58,0.56,0.81,13
0.62,0.55,0.83,25,,0.58,0.56,0.81,13
0.63,0.55,0.83,25,,0.58,0.56,0.81,13
0.61,0.55,0.83,25,,0.58,0.56,0.81,13
0.6,0.55,0.83,25,,0.58,0.56,0.81,13
0.54,0.54,0.85,24,,0.53,0.51,0.84,17
0.54,0.54,0.85,24,,0.53,0.51,0.84,17
0.54,0.54,0.87,24,,0.53,0.51,0.84,17
0.54,0.54,0.87,24,,0.53,0.51,0.84,17
0.54,0.54,0.89,24,,0.53,0.51,0.84,17
0.54,0.54,0.91,24,,0.53,0.51,0.84,17
0.54,0.54,0.88,24,,0.53,0.51,0.84,17
0.54,0.54,0.86,24,,0.53,0.51,0.84,17
0.68,0.54,0.87,23,,,,,
0.65,0.54,0.84,23,,,,,
0.65,0.54,0.83,23,,,,,
0.66,0.54,0.84,23,,,,,
0.67,0.54,0.85,23,,,,,
0.66,0.54,0.85,23,,,,,
0.67,0.54,0.84,23,,,,,
0.67,0.54,0.84,23,,,,,
0.66,0.61,0.84,22,,0.64,0.63,0.84,27
0.66,0.61,0.84,22,,0.66,0.65,0.84,27
0.66,0.61,0.84,22,,0.64,0.63,0.82,27
0.66,0.63,0.84,22,,0.64,0.61,0.81,27
0.66,0.61,0.84,22,,0.64,0.61,0.82,27
0.66,0.61,0.84,22,,0.64,0.62,0.82,27
0.66,0.61,0.84,22,,0.66,0.64,0.85,27
0.66,0.6,0.84,22,,0.64,0.64,0.83,27
0.66,0.56,0.86,21,,0.68,0.54,0.87,23
0.64,0.56,0.86,21,,0.65,0.54,0.84,23
