46603,1,fd00::212:4b00:615:a6c1,2978604,2978612,0,28300,20,0,1415,a662,257,129,-61,2019-05-2617:02:40,2019-05-2617:02:40,90
46602,1,fd00::212:4b00:615:a6dd,2977839,2977845,0,28300,20,0,1415,a6c1,682,413,-86,2019-05-2617:02:33,2019-05-2617:02:33,90
46601,1,fd00::212:4b00:615:a699,2977635,2977639,0,28280,20,0,1414,a6c1,466,210,-72,2019-05-2617:02:31,2019-05-2617:02:31,90
46600,1,fd00::212:4b00:615:a5ab,2976878,2976882,0,28260,20,0,1413,a6c1,435,151,-59,2019-05-2617:02:23,2019-05-2617:02:23,90
46599,1,fd00::212:4b00:615:a5dd,2976666,2976670,0,28240,20,0,1412,a6c1,426,166,-54,2019-05-2617:02:21,2019-05-2617:02:21,90
46598,1,fd00::212:4b00:615:a6c1,2976615,2976619,0,28280,20,0,1414,a662,284,156,-61,2019-05-2617:02:20,2019-05-2617:02:20,90
46597,1,fd00::212:4b00:615:a6dd,2975850,2975856,0,28280,20,0,1414,a6c1,651,395,-86,2019-05-2617:02:13,2019-05-2617:02:13,90
46596,1,fd00::212:4b00:615:a699,2975646,2975656,0,28260,20,0,1413,a6c1,458,202,-72,2019-05-2617:02:11,2019-05-2617:02:11,90
46595,1,fd00::212:4b00:615:a5ab,2974881,2974889,0,28240,20,0,1412,a6c1,395,139,-60,2019-05-2617:02:03,2019-05-2617:02:03,90
46594,1,fd00::212:4b00:615:a5dd,2974644,2974679,0,28220,20,0,1411,a6c1,384,128,-54,2019-05-2617:02:01,2019-05-2617:02:01,90
46593,1,fd00::212:4b00:615:a6c1,2974587,2974589,0,28260,20,0,1413,a662,272,144,-62,2019-05-2617:02:00,2019-05-2617:02:00,90
46592,1,fd00::212:4b00:615:a6dd,2973826,2973861,0,28260,20,0,1413,a6c1,652,392,-86,2019-05-2617:01:53,2019-05-2617:01:53,90
