32812,1,fd00::212:4b00:615:a5ab,3122781,3122785,0,31220,20,0,1561,a6c1,437,156,-69,2019-03-2909:04:27,2019-03-2909:04:27,2,63
32811,1,fd00::212:4b00:615:a5dd,3121506,3121510,0,31380,20,0,1569,a6c1,447,148,-55,2019-03-2909:04:15,2019-03-2909:04:15,2,63
32810,1,fd00::212:4b00:615:a6dd,3121269,3121310,0,31340,20,0,1567,a6c1,505,206,-89,2019-03-2909:04:13,2019-03-2909:04:13,2,63
32809,1,fd00::212:4b00:615:a6c1,3121047,3121051,0,31260,20,0,1563,a662,273,145,-67,2019-03-2909:04:10,2019-03-2909:04:10,2,63
32808,1,fd00::212:4b00:615:a5ab,3120759,3120794,0,31200,20,0,1560,a6c1,475,168,-69,2019-03-2909:04:08,2019-03-2909:04:08,2,63
32807,1,fd00::212:4b00:615:a5dd,3119484,3119523,0,31360,20,0,1568,a6c1,438,157,-55,2019-03-2909:03:55,2019-03-2909:03:55,2,63
32806,1,fd00::212:4b00:615:a6dd,3119272,3119315,0,31320,20,0,1566,a6c1,500,214,-89,2019-03-2909:03:53,2019-03-2909:03:53,2,63
32805,1,fd00::212:4b00:615:a6c1,3119021,3119023,0,31240,20,0,1562,a662,286,158,-67,2019-03-2909:03:50,2019-03-2909:03:50,2,63
32804,1,fd00::212:4b00:615:a5ab,3118760,3118764,0,31180,20,0,1559,a6c1,486,208,-69,2019-03-2909:03:47,2019-03-2909:03:47,2,63
32803,1,fd00::212:4b00:615:a5dd,3117485,3117493,0,31340,20,0,1567,a6c1,456,178,-55,2019-03-2909:03:35,2019-03-2909:03:35,2,63
32802,1,fd00::212:4b00:615:a6dd,3117273,3117277,0,31300,20,0,1565,a6c1,473,195,-89,2019-03-2909:03:32,2019-03-2909:03:32,2,63
32801,1,fd00::212:4b00:615:a6c1,3117022,3117024,0,31220,20,0,1561,a662,274,146,-67,2019-03-2909:03:30,2019-03-2909:03:30,2,63
32800,1,fd00::212:4b00:615:a5ab,3116763,3116781,0,31160,20,0,1558,a6c1,455,177,-69,2019-03-2909:03:27,2019-03-2909:03:27,2,63
32799,1,fd00::212:4b00:615:a5dd,3115488,3115498,0,31320,20,0,1566,a6c1,448,161,-55,2019-03-2909:03:15,2019-03-2909:03:15,2,63
32798,1,fd00::212:4b00:615:a6dd,3115284,3115302,0,31280,20,0,1564,a6c1,497,210,-88,2019-03-2909:03:13,2019-03-2909:03:13,2,63
32797,1,fd00::212:4b00:615:a6c1,3115029,3115031,0,31200,20,0,1560,a662,294,166,-67,2019-03-2909:03:10,2019-03-2909:03:10,2,63
32796,1,fd00::212:4b00:615:a5ab,3114774,3114784,0,31140,20,0,1557,a6c1,443,166,-69,2019-03-2909:03:08,2019-03-2909:03:08,2,63
